nr_samples	intro_prob	run	intro_percentage
1	1.000000	1	0.100000
2	0.838900	1	0.100000
5	0.605700	1	0.100000
11	0.491700	1	0.100000
26	0.426200	1	0.100000
58	0.361600	1	0.100000
131	0.299800	1	0.100000
295	0.240200	1	0.100000
666	0.192800	1	0.100000
1500	0.137800	1	0.100000
1	1.000000	2	0.100000
2	0.845100	2	0.100000
5	0.607200	2	0.100000
11	0.484000	2	0.100000
26	0.413900	2	0.100000
58	0.369300	2	0.100000
131	0.304800	2	0.100000
295	0.235100	2	0.100000
666	0.189600	2	0.100000
1500	0.141300	2	0.100000
1	1.000000	3	0.100000
2	0.840200	3	0.100000
5	0.604000	3	0.100000
11	0.481400	3	0.100000
26	0.419000	3	0.100000
58	0.363400	3	0.100000
131	0.303500	3	0.100000
295	0.249300	3	0.100000
666	0.183700	3	0.100000
1500	0.140000	3	0.100000
1	1.000000	4	0.100000
2	0.842700	4	0.100000
5	0.607500	4	0.100000
11	0.479700	4	0.100000
26	0.422800	4	0.100000
58	0.368500	4	0.100000
131	0.304600	4	0.100000
295	0.246000	4	0.100000
666	0.196400	4	0.100000
1500	0.150000	4	0.100000
1	1.000000	5	0.100000
2	0.841600	5	0.100000
5	0.610400	5	0.100000
11	0.482300	5	0.100000
26	0.418000	5	0.100000
58	0.366700	5	0.100000
131	0.302800	5	0.100000
295	0.254900	5	0.100000
666	0.187400	5	0.100000
1500	0.131900	5	0.100000
1	1.000000	6	0.100000
2	0.840100	6	0.100000
5	0.604900	6	0.100000
11	0.483000	6	0.100000
26	0.413900	6	0.100000
58	0.362600	6	0.100000
131	0.303500	6	0.100000
295	0.241100	6	0.100000
666	0.185300	6	0.100000
1500	0.136700	6	0.100000
1	1.000000	7	0.100000
2	0.841000	7	0.100000
5	0.607600	7	0.100000
11	0.480400	7	0.100000
26	0.421200	7	0.100000
58	0.364000	7	0.100000
131	0.304900	7	0.100000
295	0.250000	7	0.100000
666	0.188900	7	0.100000
1500	0.144200	7	0.100000
1	1.000000	8	0.100000
2	0.836600	8	0.100000
5	0.599200	8	0.100000
11	0.479000	8	0.100000
26	0.416700	8	0.100000
58	0.372900	8	0.100000
131	0.305400	8	0.100000
295	0.240500	8	0.100000
666	0.189300	8	0.100000
1500	0.145200	8	0.100000
1	1.000000	9	0.100000
2	0.835900	9	0.100000
5	0.613300	9	0.100000
11	0.488100	9	0.100000
26	0.407900	9	0.100000
58	0.359700	9	0.100000
131	0.305700	9	0.100000
295	0.250000	9	0.100000
666	0.188500	9	0.100000
1500	0.140100	9	0.100000
1	1.000000	10	0.100000
2	0.837400	10	0.100000
5	0.616000	10	0.100000
11	0.481100	10	0.100000
26	0.425600	10	0.100000
58	0.360100	10	0.100000
131	0.305500	10	0.100000
295	0.250800	10	0.100000
666	0.196400	10	0.100000
1500	0.147900	10	0.100000
1	1.000000	1	0.030000
2	0.266500	1	0.030000
5	0.143500	1	0.030000
11	0.142400	1	0.030000
26	0.127600	1	0.030000
58	0.108700	1	0.030000
131	0.094000	1	0.030000
295	0.072600	1	0.030000
666	0.056800	1	0.030000
1500	0.045800	1	0.030000
1	1.000000	2	0.030000
2	0.267700	2	0.030000
5	0.137600	2	0.030000
11	0.133700	2	0.030000
26	0.132700	2	0.030000
58	0.113500	2	0.030000
131	0.087000	2	0.030000
295	0.072800	2	0.030000
666	0.056500	2	0.030000
1500	0.040800	2	0.030000
1	1.000000	3	0.030000
2	0.265700	3	0.030000
5	0.145900	3	0.030000
11	0.135300	3	0.030000
26	0.132300	3	0.030000
58	0.115300	3	0.030000
131	0.089100	3	0.030000
295	0.072800	3	0.030000
666	0.057700	3	0.030000
1500	0.044100	3	0.030000
1	1.000000	4	0.030000
2	0.271200	4	0.030000
5	0.144700	4	0.030000
11	0.142100	4	0.030000
26	0.123900	4	0.030000
58	0.112300	4	0.030000
131	0.089100	4	0.030000
295	0.077000	4	0.030000
666	0.056900	4	0.030000
1500	0.042600	4	0.030000
1	1.000000	5	0.030000
2	0.266800	5	0.030000
5	0.148000	5	0.030000
11	0.141800	5	0.030000
26	0.124600	5	0.030000
58	0.109200	5	0.030000
131	0.089800	5	0.030000
295	0.071100	5	0.030000
666	0.057600	5	0.030000
1500	0.042700	5	0.030000
1	1.000000	6	0.030000
2	0.270500	6	0.030000
5	0.142000	6	0.030000
11	0.136300	6	0.030000
26	0.126400	6	0.030000
58	0.113400	6	0.030000
131	0.093500	6	0.030000
295	0.075400	6	0.030000
666	0.060300	6	0.030000
1500	0.043300	6	0.030000
1	1.000000	7	0.030000
2	0.276100	7	0.030000
5	0.140300	7	0.030000
11	0.139400	7	0.030000
26	0.123400	7	0.030000
58	0.113600	7	0.030000
131	0.094200	7	0.030000
295	0.068400	7	0.030000
666	0.059900	7	0.030000
1500	0.042700	7	0.030000
1	1.000000	8	0.030000
2	0.274100	8	0.030000
5	0.138100	8	0.030000
11	0.135000	8	0.030000
26	0.128100	8	0.030000
58	0.117500	8	0.030000
131	0.092000	8	0.030000
295	0.072800	8	0.030000
666	0.058000	8	0.030000
1500	0.041300	8	0.030000
1	1.000000	9	0.030000
2	0.275200	9	0.030000
5	0.145100	9	0.030000
11	0.139500	9	0.030000
26	0.128500	9	0.030000
58	0.113300	9	0.030000
131	0.097100	9	0.030000
295	0.071200	9	0.030000
666	0.056500	9	0.030000
1500	0.043500	9	0.030000
1	1.000000	10	0.030000
2	0.263400	10	0.030000
5	0.147900	10	0.030000
11	0.129100	10	0.030000
26	0.123400	10	0.030000
58	0.114500	10	0.030000
131	0.089000	10	0.030000
295	0.071900	10	0.030000
666	0.058900	10	0.030000
1500	0.042100	10	0.030000
1	1.000000	1	0.010000
2	0.129300	1	0.010000
5	0.064200	1	0.010000
11	0.070000	1	0.010000
26	0.063500	1	0.010000
58	0.055700	1	0.010000
131	0.039900	1	0.010000
295	0.027700	1	0.010000
666	0.019800	1	0.010000
1500	0.012600	1	0.010000
1	1.000000	2	0.010000
2	0.137500	2	0.010000
5	0.069900	2	0.010000
11	0.064000	2	0.010000
26	0.061300	2	0.010000
58	0.052000	2	0.010000
131	0.037300	2	0.010000
295	0.028800	2	0.010000
666	0.021300	2	0.010000
1500	0.014500	2	0.010000
1	1.000000	3	0.010000
2	0.134800	3	0.010000
5	0.068200	3	0.010000
11	0.066800	3	0.010000
26	0.059300	3	0.010000
58	0.052800	3	0.010000
131	0.035200	3	0.010000
295	0.027400	3	0.010000
666	0.018800	3	0.010000
1500	0.015100	3	0.010000
1	1.000000	4	0.010000
2	0.136400	4	0.010000
5	0.067600	4	0.010000
11	0.063100	4	0.010000
26	0.056300	4	0.010000
58	0.053800	4	0.010000
131	0.040900	4	0.010000
295	0.026400	4	0.010000
666	0.018800	4	0.010000
1500	0.014000	4	0.010000
1	1.000000	5	0.010000
2	0.135700	5	0.010000
5	0.069000	5	0.010000
11	0.067500	5	0.010000
26	0.062400	5	0.010000
58	0.054600	5	0.010000
131	0.039400	5	0.010000
295	0.028500	5	0.010000
666	0.019700	5	0.010000
1500	0.014500	5	0.010000
1	1.000000	6	0.010000
2	0.135600	6	0.010000
5	0.070500	6	0.010000
11	0.067400	6	0.010000
26	0.060200	6	0.010000
58	0.053300	6	0.010000
131	0.040100	6	0.010000
295	0.029000	6	0.010000
666	0.020200	6	0.010000
1500	0.014500	6	0.010000
1	1.000000	7	0.010000
2	0.135800	7	0.010000
5	0.067700	7	0.010000
11	0.070700	7	0.010000
26	0.062400	7	0.010000
58	0.049600	7	0.010000
131	0.039900	7	0.010000
295	0.028000	7	0.010000
666	0.019900	7	0.010000
1500	0.014600	7	0.010000
1	1.000000	8	0.010000
2	0.132900	8	0.010000
5	0.067400	8	0.010000
11	0.067100	8	0.010000
26	0.063100	8	0.010000
58	0.052000	8	0.010000
131	0.037400	8	0.010000
295	0.029900	8	0.010000
666	0.020000	8	0.010000
1500	0.014600	8	0.010000
1	1.000000	9	0.010000
2	0.128200	9	0.010000
5	0.067900	9	0.010000
11	0.062500	9	0.010000
26	0.060200	9	0.010000
58	0.054500	9	0.010000
131	0.037500	9	0.010000
295	0.030300	9	0.010000
666	0.019400	9	0.010000
1500	0.016500	9	0.010000
1	1.000000	10	0.010000
2	0.136200	10	0.010000
5	0.068000	10	0.010000
11	0.062400	10	0.010000
26	0.062500	10	0.010000
58	0.053700	10	0.010000
131	0.039100	10	0.010000
295	0.027300	10	0.010000
666	0.021500	10	0.010000
1500	0.013800	10	0.010000
